,week,weekday,hour,CellID,countrycode,smsin,smsout,callin,callout,internet,idx
85458,44,4,7,5459,1452,69.30142985650886,54.905700495940735,21.83254264517072,31.69787860585646,1280.005611582025,7495
85569,44,4,7,5570,3167,135.7126685150747,157.99226079180636,37.0406755493692,35.96556959552444,1621.7051387276813,7495
85643,44,4,7,5644,3608,99.86198240039165,46.02863330873184,29.135963713363143,46.57719658535123,1144.7429834757309,7495
86371,44,4,7,6372,8208,174.56692435046088,33.36225366228516,42.86697664954008,87.9197963455092,1911.938974833429,7495
86376,44,4,7,6377,3435,54.4713431609002,11.808115440136815,11.069129133512043,17.338555355470945,801.3343091397153,7495
86560,44,4,7,6561,3040,75.61540348997238,25.74560577931718,27.176637780294122,38.257641968408436,1390.262354330922,7495
95458,44,4,8,5459,6187,89.90693637024884,74.09560362052558,44.524621274564076,66.0449317984059,1467.451954113922,7496
95569,44,4,8,5570,3318,117.7879346651375,352.0816605718294,73.38595460820486,108.20532138953001,1860.4539659372774,7496
95643,44,4,8,5644,5341,131.39538712944474,48.05435461447785,75.01180830363592,90.0726592128781,1450.5395889148303,7496
96371,44,4,8,6372,10552,175.5264294023062,52.53794903081584,83.6801942359202,134.69830865475055,1953.1590886763986,7496
96376,44,4,8,6377,4963,64.89122508660624,27.30659910320336,26.99827787793769,34.62794435773338,906.5414812039544,7496
96560,44,4,8,6561,2505,100.70115772456667,48.39342535217149,35.68146772521626,53.04464210611856,1401.1977876111312,7496
105458,44,4,9,5459,13138,114.24291308127934,96.43776566099443,79.9647363427047,93.94999701950033,1624.0996586237252,7497
105569,44,4,9,5570,6051,176.34870729503834,98.65670603012818,149.09994266335963,149.4341193092252,1906.7191159518318,7497
105643,44,4,9,5644,7000,131.46013311822261,47.153119168046246,104.93896137130015,126.669036347828,1555.2246766707096,7497
106371,44,4,9,6372,10233,233.2991939733301,55.15105418181493,101.3110330286454,182.5726261355251,2610.67676695329,7497
106376,44,4,9,6377,3682,82.65363818183624,35.9422730190472,37.62875979754585,49.585911070496486,1053.7491056915908,7497
106560,44,4,9,6561,1770,126.74127595965794,49.17480363227043,68.46872552183704,84.72392897109101,1680.3182715648272,7497
115458,44,4,10,5459,3567,152.91554710271367,100.25376351665568,122.5840012514842,131.4325861389398,1773.2642623130976,7498
115569,44,4,10,5570,3553,160.04939932615923,104.79723875452099,127.35905574788848,127.03796790793359,1931.8526840633888,7498
115643,44,4,10,5644,13819,133.3813912292136,165.38379787179625,114.46726097644297,144.3496711586676,1590.9188790721062,7498
116371,44,4,10,6372,9557,224.25807608461264,91.62511852180981,134.3548320379556,194.2843283909954,2470.1838230621,7498
116376,44,4,10,6377,2920,75.07685359723659,34.312094504931736,44.56096947568308,56.68151868705962,1013.728321926416,7498
116560,44,4,10,6561,2797,124.1910161316926,43.56402131566598,82.6855259757483,124.28631222723932,1362.4578996652203,7498
125458,44,4,11,5459,14574,199.45646612106947,88.42218487697521,118.3715876135684,128.79874501572826,1914.066700129483,7499
125569,44,4,11,5570,4405,160.1442814120571,104.16093936298178,111.54941439411051,109.69718323400274,1890.045503831796,7499
125643,44,4,11,5644,7737,149.50075508259536,139.23701869128223,109.18275419368763,123.45879869927676,1578.2432947953644,7499
126371,44,4,11,6372,9212,237.1420017204769,78.20009774617347,120.98378320266352,180.8594374540807,2551.901720696867,7499
126376,44,4,11,6377,7310,65.73161256837773,39.723200133072595,41.55822425409019,53.59308953192498,1003.190905110419,7499
126560,44,4,11,6561,5532,141.54751451300461,65.09860275009177,88.99299560164995,114.818057595565,1930.957529575689,7499
135458,44,4,12,5459,13516,182.84431879838706,91.91954206477088,86.4615674956891,90.20205381694011,2199.813903713654,7500
135569,44,4,12,5570,4298,128.02706317787056,81.9119857773981,79.4189652967898,105.66724108562643,1788.5890298129127,7500
135643,44,4,12,5644,8209,120.75946978367254,94.80993184609848,82.03860027743164,102.75703283761023,1476.046971339909,7500
136371,44,4,12,6372,8368,191.69034073276603,51.91418657355109,128.12596797138943,158.29351866314786,2568.383898182377,7500
136376,44,4,12,6377,9691,57.97541486661235,47.54295822042654,31.00406455379801,44.569800847419465,943.0990382152738,7500
136560,44,4,12,6561,6270,112.77253810398629,36.20823255155936,66.44390461121495,93.0842916606663,1425.4212098230616,7500
145458,44,4,13,5459,16318,170.65646521493997,102.88462609529984,81.41237116432488,76.7826950000384,2456.281131023094,7501
145569,44,4,13,5570,5364,127.37955369260503,98.11803507040926,70.58730731064132,83.10798079572409,1860.2774650971205,7501
145643,44,4,13,5644,6301,136.6977536809447,99.1571378401663,85.52419328852051,89.82441502728646,1515.2632528028387,7501
146371,44,4,13,6372,29440,213.38878593495247,52.915820788007906,113.5625922109507,202.3193407600544,2326.9946729372436,7501
146376,44,4,13,6377,6131,59.97784415252679,42.885956780285,27.630478829558236,39.859753796347526,1089.905014227843,7501
146560,44,4,13,6561,4927,93.62414845192457,30.035453271808752,71.92397205468934,75.02433561361879,1288.9107461293715,7501
155458,44,4,14,5459,7000,150.4248291488429,96.62290380660085,86.83924299085731,89.81964574295094,2128.4934984534125,7502
155569,44,4,14,5570,4685,132.40750611322437,90.81352611109999,88.7263155608763,79.66477602660572,1919.6069698391095,7502
155643,44,4,14,5644,5381,111.8119168598081,145.91146304758797,76.50928872653635,98.51254691561842,1411.3469972125292,7502
156371,44,4,14,6372,11118,236.7103810723795,52.377108720485545,138.3443773612548,216.53281176661622,2508.2306826474555,7502
156376,44,4,14,6377,7453,59.67652066930912,26.95016138295296,28.944368602514217,39.32220905420517,1183.552628422051,7502
156560,44,4,14,6561,4397,60.24613689832353,32.47017870889541,43.98266812762592,63.59540357661054,1452.056137693492,7502
165458,44,4,15,5459,8259,192.92537247204686,116.44184862979286,112.21903225828258,112.24622044604068,3100.1321292588937,7503
165569,44,4,15,5570,3185,139.81324837394322,99.23538760711816,93.1346544433209,92.65316872100098,1985.478830453017,7503
165643,44,4,15,5644,4996,122.19098487043706,48.67664725819923,81.57307449481502,110.57224078662749,1381.2905179558388,7503
166371,44,4,15,6372,12274,225.06821777835705,70.8555667466964,130.48212079467913,202.08139290407536,2735.379030082383,7503
166376,44,4,15,6377,2509,44.695807522117,16.043063229224217,38.104232972047996,38.1631033323214,1049.43525895863,7503
166560,44,4,15,6561,3375,118.22824116609596,57.728573545857,69.49801167049594,74.486854593358,1353.006815803411,7503
175458,44,4,16,5459,8959,192.06904372841134,100.40866250570389,132.2569442056507,112.22772692931794,2338.440669860933,7504
175569,44,4,16,5570,4021,153.79563803759305,86.43147076690018,112.26228128603219,111.94144661594397,1947.8334891468728,7504
175643,44,4,16,5644,4406,134.75792137194273,95.15312883887145,114.55571309815097,113.64245983494182,1666.0346566902963,7504
176371,44,4,16,6372,11067,279.58637131636146,62.077523924908576,148.50666123913683,233.86923132972285,3414.398351139758,7504
176376,44,4,16,6377,6802,59.327020774286154,23.813636335565292,39.35280771728068,48.7053139591704,1017.1308889054749,7504
176560,44,4,16,6561,2481,82.88143697615705,62.58262853592787,66.5028272835313,82.5562004739878,1454.7295029655315,7504
185458,44,4,17,5459,10387,191.01502693287668,132.64866843887316,150.6742905843455,139.12695997680242,2269.7410352302886,7505
185569,44,4,17,5570,4422,153.28723636918158,112.97089753005584,99.25141839674032,111.63727167510442,2041.1290928647593,7505
185643,44,4,17,5644,2317,165.94541693617384,72.45528965806041,119.31450684731487,121.83081105113153,1790.483321765381,7505
186371,44,4,17,6372,12469,300.04547286249357,62.45727398151722,130.15236033867203,215.61958758096193,2543.7401627398317,7505
186376,44,4,17,6377,3794,54.83866409697832,38.326129719902895,34.29881514981899,40.00786814742821,956.5267520216522,7505
186560,44,4,17,6561,4596,141.90733470152745,71.31885889065859,88.47766610172623,96.91169003509523,1542.1725552460152,7505
195458,44,4,18,5459,14854,173.11964912678562,109.98259330217473,103.58126671935231,122.05909088710271,2381.039742386166,7506
195569,44,4,18,5570,4261,129.66834878522167,103.78285954241997,100.8336688680308,90.60746404462688,2112.935290619594,7506
195643,44,4,18,5644,6643,157.51562720985584,115.09210528441015,108.41085288729045,118.47798371819509,1533.596667484869,7506
196371,44,4,18,6372,10476,271.02184416382534,86.66000181476304,142.62247308374495,178.69993361286265,2834.316790849424,7506
196376,44,4,18,6377,3137,46.402160712365436,23.853477314206653,32.08944249225962,41.639601748527994,866.8159351986783,7506
196560,44,4,18,6561,2107,101.60483884379897,60.58185280605035,75.51738535454658,101.89883526819574,1519.5879071011568,7506
205458,44,4,19,5459,12145,124.46406948939881,93.40267434359345,87.41942942048249,75.52580673833826,2359.281440540034,7507
205569,44,4,19,5570,5194,156.69609703480674,110.60590746395759,80.48076755034806,91.21636393862471,1961.4001516734463,7507
205643,44,4,19,5644,3541,124.02747408005476,251.61049284732,76.08102351716792,102.4556706986084,1574.4734523819584,7507
206371,44,4,19,6372,10314,213.96467927554903,58.65733373180122,99.24454047324699,161.78275862195025,2965.0858586251297,7507
206376,44,4,19,6377,2347,65.92951549425973,30.434541574700695,24.64970547736891,24.926664498148643,933.9163050965997,7507
206560,44,4,19,6561,2889,97.55008033197159,52.00346359032486,70.35535364007274,67.87364816479852,1879.70047728471,7507
215458,44,4,20,5459,5925,112.15673132007849,85.27171967580232,36.47339469631291,62.46379149646755,2515.8892839940877,7508
215569,44,4,20,5570,2124,97.49548405511163,87.24595318795772,50.87764194238986,44.89069943906639,1674.2133379221189,7508
215643,44,4,20,5644,21154,92.52058146611029,235.48515995327085,53.16656041737279,71.7949000465223,1612.569031828314,7508
216371,44,4,20,6372,5761,195.92169236672342,74.16277614954868,77.97427653763137,131.0680498273167,2757.9007351335317,7508
216376,44,4,20,6377,1785,46.48662822281929,22.009417947686625,15.107312071870522,23.154760498134628,857.2336699850752,7508
216560,44,4,20,6561,1919,117.00072261044467,61.01927498916889,41.38443627005364,54.136684717912495,1661.9910277131708,7508
225458,44,4,21,5459,5338,138.0093759827452,98.17535058617631,47.37677889944659,57.10600247507205,2464.210645222153,7509
225569,44,4,21,5570,1252,136.16248074540295,129.18651279144134,44.69609859664296,22.313933620268475,1528.0475761986515,7509
225643,44,4,21,5644,6756,78.95628144853069,144.19004085084472,30.847156742075914,43.82037891959429,1458.9893139092824,7509
226371,44,4,21,6372,4813,127.60009174408471,45.10669331301982,42.73541481669734,96.18343369581353,3234.5492184981513,7509
226376,44,4,21,6377,3896,31.98191689122019,18.89742065575859,10.740327931006636,13.765661428348944,858.9844013833297,7509
226560,44,4,21,6561,1195,77.68945059848227,37.95442869137388,45.07995439520532,25.147756850431257,1416.8624609003127,7509
235458,44,4,22,5459,4172,85.62150654298024,84.47519218664304,54.00494286599416,50.447667557147625,2524.4814126789606,7510
235569,44,4,22,5570,866,106.9670001328222,98.1082837495329,27.307482957998587,20.98995062726876,1466.0943169609477,7510
235643,44,4,22,5644,2826,37.459672606507404,198.09889423452768,11.316512660353691,17.95195015397192,1401.5341604229723,7510
236371,44,4,22,6372,3191,103.55267986419548,41.79893526709746,39.32372254308873,77.329342414758,2561.1735886329748,7510
236376,44,4,22,6377,897,21.095380231394937,18.783847109402206,5.216623282220261,5.76070645772899,884.7345779799869,7510
236560,44,4,22,6561,1287,49.54776865911942,31.785023144517854,19.262277670473505,21.59914399809009,1646.793777301465,7510
5458,44,4,23,5459,3917,102.95817282578174,74.05676693161465,38.04701010791734,34.37633399856475,2060.9175649651543,7511
5569,44,4,23,5570,952,71.86844782632848,75.3307047702868,14.358406499632364,10.54914710470309,1632.2706584269097,7511
5643,44,4,23,5644,2687,86.26838757243704,206.20912642507727,3.1639021449151046,4.659912410927072,1290.0565543582861,7511
6371,44,4,23,6372,3233,82.01589481476901,44.27957225389875,29.462940758028655,32.63990466853081,2316.5144962873105,7511
6376,44,4,23,6377,479,12.24585403888327,6.4528106922617425,3.4039115431890554,2.83255662159834,767.8385323294099,7511
6560,44,4,23,6561,453,32.099074364092516,23.622247723636757,12.725992520729916,18.983666335528547,1568.2805807564157,7511
15458,44,5,0,5459,2097,66.25381435682591,67.83805526803081,31.605929347757733,14.434438092824081,1775.220631143345,7512
15569,44,5,0,5570,2379,41.57424460683192,39.80196149889844,1.134606247873397,3.9933911815553778,1468.349832689336,7512
15643,44,5,0,5644,989,11.453836541432873,87.20898693246569,4.476921376778276,7.004555672317988,1244.6966487656496,7512
16371,44,5,0,6372,3342,34.19349926624545,19.54657791739844,11.218507665392185,19.798513823325088,1716.2886327975696,7512
16376,44,5,0,6377,317,8.567122202309571,3.856196497571319,0.7472679227608535,1.7527818182944725,705.6654619436731,7512
16560,44,5,0,6561,1599,16.827066459481003,6.260654201348592,10.724621891604789,9.444346495261223,1038.8682796525707,7512
25458,44,5,1,5459,1402,39.11342995283888,47.80622783627713,8.9739637644655,7.7404016574116445,1168.0263776225509,7513
25569,44,5,1,5570,552,7.445380770716431,8.486328458260806,1.9212364893195504,2.875560843330934,1331.9334547471556,7513
25643,44,5,1,5644,289,3.797190043132329,141.3329524717791,3.448738470173741,1.122491531122639,1089.1741069109219,7513
26371,44,5,1,6372,1528,17.230921010425398,4.0357853116799705,4.981929437516001,10.555778230192344,1700.3008087823916,7513
26376,44,5,1,6377,1087,3.917643385269307,0.6633710300147099,0.12412898985477587,0.12991611168558667,573.0014314375197,7513
26560,44,5,1,6561,1317,6.500617422528261,7.094609617978795,1.6644789159469735,8.870601965451138,809.7233784388995,7513
35458,44,5,2,5459,2412,50.860914154819625,53.873749729160366,16.672660593860364,1.8801408591290156,998.7887485077724,7514
35569,44,5,2,5570,907,3.751604076501104,10.176200953886827,0.8596158719466367,1.0858354491593234,1039.9569541686108,7514
35643,44,5,2,5644,368,5.900210786487789,3.6184304845087487,2.9282869897735564,2.4862973613726127,835.2140722877197,7514
36371,44,5,2,6372,2132,12.462972797957358,5.903468303401623,7.452895091133592,14.434395467516964,1252.0771661334154,7514
36376,44,5,2,6377,234,0.5617429917814503,0.0,0.34843932767467045,0.5483223001893571,530.6927489414339,7514
36560,44,5,2,6561,1200,5.0112926705680625,0.31445619077358217,0.8747336840527862,1.1322536575714013,781.4864386908159,7514
45458,44,5,3,5459,89999,41.31368601729118,47.47844329013682,5.908240132928751,1.5696780514613646,631.9048379841549,7515
45569,44,5,3,5570,587,5.557215794321179,9.91797484821887,1.9719655185196119,1.1676584176582743,981.3585026297137,7515
45643,44,5,3,5644,1468,7.889333302054893,31.647289985130897,1.7613020510450759,1.0106513213836823,764.5946155144272,7515
46371,44,5,3,6372,2390,15.93832645747921,2.5315150312019328,4.606999628663306,5.134110951054044,1226.5992774725275,7515
46376,44,5,3,6377,234,0.602484429215033,4.713229053144866,0.9380706352461172,0.3690938313657153,436.5434556410131,7515
46560,44,5,3,6561,656,5.482855810238134,6.543724815112934,5.345993788887496,2.720352125215674,687.090408378917,7515
55458,44,5,4,5459,1840,3.401261734876868,28.57060422191114,1.50233896769169,1.5557919544033352,631.2082309012573,7516
55569,44,5,4,5570,566,6.381724254222921,8.791167607038696,0.4801102408209951,1.470446350414242,954.2718608877125,7516
55643,44,5,4,5644,2273,3.2625515008019397,164.83151689074487,2.976595605646661,1.6873380158381146,661.8330844327586,7516
56371,44,5,4,6372,3471,16.108726168168552,2.6828017621235154,2.1893574710187433,11.395698940748755,1320.152281552094,7516
56376,44,5,4,6377,283,1.661396838618331,0.38974833505676,0.23339059784931776,0.5138773249115358,443.25969070682845,7516
56560,44,5,4,6561,1167,7.948677710112383,1.4178060744270788,4.706837177912716,3.6245786556855553,696.2669002672125,7516
65458,44,5,5,5459,2852,2.4898517842619583,25.427471733184795,1.9548384114831179,3.8419429030265926,649.3435356228215,7517
65569,44,5,5,5570,906,4.416994451537774,8.560226032530954,6.563627641904646,3.7384173171130723,982.713675649775,7517
65643,44,5,5,5644,2580,18.765295455475517,233.58839305858154,11.795616858463472,20.72921593386519,820.8143573727054,7517
66371,44,5,5,6372,4398,17.425527957431125,4.183793384677179,3.2892327630670994,15.670354663290187,1039.9389174984726,7517
66376,44,5,5,6377,1177,0.9312066031418489,1.2082619966286785,1.58894191665805,1.3147980363731149,414.61262808551953,7517
66560,44,5,5,6561,413,12.977221375799168,5.048244117560206,9.947992305653315,4.872051330073482,782.3785964890149,7517
75458,44,5,6,5459,5482,19.018150141685048,34.31799968697407,9.205041023979927,11.249665829964755,815.8786011940167,7518
75569,44,5,6,5570,1235,27.977320030853754,20.737414107370995,9.91869526239513,19.519983854089407,1012.7036018707767,7518
75643,44,5,6,5644,2466,34.04690074384473,88.59966291093353,12.079052818154453,18.197573248242445,821.0375220210688,7518
76371,44,5,6,6372,6462,40.48332308538979,16.847546297400303,15.841807886371512,33.12565379379548,1177.057505337038,7518
76376,44,5,6,6377,2044,15.223900256802741,6.252840257411256,3.7111932688139384,4.763282108233472,515.1313542823381,7518
76560,44,5,6,6561,350,15.860578734693496,11.791025433399927,9.435191486758905,10.237200825581532,927.7512413919212,7518
85458,44,5,7,5459,3189,69.3084348766911,45.18534588025299,28.674245279821015,30.615254770443233,1376.6814380120893,7519
85569,44,5,7,5570,4220,134.92955736036276,66.35726166730385,31.371764580603724,52.14051500740182,1293.4317942051402,7519
85643,44,5,7,5644,4275,106.8753713388631,198.2294626552513,36.71865285696721,40.34180663644045,1164.1994221417551,7519
86371,44,5,7,6372,7667,173.8707144203515,35.00093614870879,39.19764719557841,70.48966834026413,1386.373337015746,7519
86376,44,5,7,6377,3026,40.30107759382672,7.096452723526562,12.180957073754819,16.13574586029597,585.46893071124,7519
86560,44,5,7,6561,1879,77.91080244522966,17.847366649145265,25.302110714474747,32.627926803854734,1037.2690693179943,7519
95458,44,5,8,5459,6433,120.25935253571714,57.260595779423284,62.05624425622663,64.49074620470238,1239.1350003545497,7520
95569,44,5,8,5570,2281,135.62932070502535,74.1706438076003,94.57812079971536,87.46338389712973,1424.7274730520642,7520
95643,44,5,8,5644,2089,151.87332219114086,359.8961182677908,65.98113130506458,112.0353247067435,1549.1076529453057,7520
96371,44,5,8,6372,16169,231.69907815536632,42.31869604428738,83.48848182478847,133.8256251316753,1736.8407100316872,7520
96376,44,5,8,6377,5445,75.62703803019869,17.274251713736547,22.921166452514292,36.47808065326514,764.9973096536078,7520
96560,44,5,8,6561,748,115.93047287325814,38.28804013455658,60.34619287256862,83.46663142915838,1284.1059219187102,7520
105458,44,5,9,5459,4766,214.69581953427647,97.79581457510987,108.7594940006212,133.28085120312232,1882.0332010209838,7521
105569,44,5,9,5570,3074,144.36259879488387,80.16133799332847,118.5857761770832,124.74278173442913,1658.8901688649491,7521
105643,44,5,9,5644,5212,145.1986974728415,158.18945001518262,107.35120518000429,129.13850826389535,1609.9139477934018,7521
106371,44,5,9,6372,8251,241.02607449722973,56.3726385422672,115.83435202114225,207.54553606704044,1856.3999380553037,7521
106376,44,5,9,6377,7314,62.223811338803834,26.324784940881834,40.96380122908949,50.28335052409288,944.10439391915,7521
106560,44,5,9,6561,4187,137.6461768719712,49.80269577002173,85.01454418080623,83.48458808822541,1488.2533799225725,7521
115458,44,5,10,5459,23291,170.14089351187488,100.06937680254747,129.54546429275376,150.90471591210797,2279.0418628872444,7522
115569,44,5,10,5570,5090,169.99460133823237,109.67198837201768,109.79108779880646,132.24833332053916,1844.424922209581,7522
115643,44,5,10,5644,22366,140.7667822008945,171.54760447569302,114.30025803293053,146.33337998854157,1864.2993643349018,7522
116371,44,5,10,6372,8149,255.5813610190863,59.27852856764336,149.21082708788893,217.31842768759986,2094.390525831641,7522
116376,44,5,10,6377,4750,58.02662950609529,23.751251903989537,39.41708095656047,51.69001065559274,1010.8420590912598,7522
116560,44,5,10,6561,5986,122.44237878365183,48.681362916913336,81.05980901160704,110.42632603113067,1504.3051320425425,7522
125458,44,5,11,5459,9869,260.1258555409058,139.38824396722183,195.7498285190706,199.54096797147676,2708.40595917744,7523
125569,44,5,11,5570,5342,152.35201807658183,128.52472166500124,127.220809277266,110.7774799130168,1904.1204165083836,7523
125643,44,5,11,5644,24555,144.4389331490012,204.08264700930866,120.5864075683519,144.47277872207718,1573.9320618324766,7523
126371,44,5,11,6372,12763,235.31112428245933,66.5216392380881,138.59773262812314,183.35559014721076,4774.228602583518,7523
126376,44,5,11,6377,5860,63.063874936535264,28.69460763547422,44.690915644201894,53.630197755000445,996.8123060255028,7523
126560,44,5,11,6561,3534,100.7071864571404,53.83506750144578,88.08342666595884,116.15044673873722,1378.4969964494537,7523
135458,44,5,12,5459,9698,237.36736178648283,130.05476094528387,139.65535659063377,162.5964094494178,2773.9852544304963,7524
135569,44,5,12,5570,2615,145.50452260181567,471.0701080580415,98.35640607591789,75.50299313382096,1421.8579905815334,7524
135643,44,5,12,5644,5951,116.7672035505635,73.90305006384797,91.16650753481251,95.50235002781493,1340.1331025157908,7524
136371,44,5,12,6372,10902,222.51795943389487,69.45042939786168,137.78191518379518,173.41293984800743,5288.525657130967,7524
136376,44,5,12,6377,3133,54.66186214089895,26.125442621754665,33.54959496675277,37.76288197875939,1102.1835414122208,7524
136560,44,5,12,6561,4509,98.91784285900866,49.421476473790335,72.99384823476244,77.32164142340613,1345.9296342178686,7524
145458,44,5,13,5459,15477,201.25719574479365,119.85198867879198,110.98752159337683,135.15752299727805,3025.4770114513185,7525
145569,44,5,13,5570,4946,129.394355738861,228.2570853635344,77.59623274058545,82.17634543905885,1712.8015722663645,7525
145643,44,5,13,5644,3954,103.89406797821279,189.19055101198018,80.67449683874224,79.69150850529617,1654.8900119274397,7525
146371,44,5,13,6372,7731,231.70934461225556,63.219124113086735,130.2461948713678,173.265107206427,2428.1944302605593,7525
146376,44,5,13,6377,6839,53.02691669646178,28.778088792795437,34.15421184010363,37.54290415644017,1034.399558673718,7525
146560,44,5,13,6561,2084,83.02012984844117,40.84767125499987,63.51896380231315,63.63677823832452,1606.6918246582325,7525
155458,44,5,14,5459,11277,233.78717031363018,144.36275494476786,101.927756653689,122.5936599378941,2588.507829826146,7526
155569,44,5,14,5570,4978,146.78689076018202,157.19159688075118,85.72798925010244,98.56059930805455,1831.1703863360656,7526
155643,44,5,14,5644,6309,138.58210584946852,82.90067641612045,93.63510052733147,75.50911984670215,1823.6115328119786,7526
