,week,weekday,hour,minute,CellID,smsin,smsout,callin,callout,internet,idx,relativeHumidity,precipitation,temperature,windSpeed,CO,NO2,NO,Benzene
152,48,6,3,10,5644,1.6152677579103856,0.8214643777279376,0.030875401808113045,0.09971112537182317,105.6695426554291,49267.0,99.0,0.0,-0.8166666666666667,0.5333333333333333,1.2,65.53333333333333,108.9,0.12143115942028987
158,48,6,3,20,5644,0.3783738873114897,1.335105127391105,0.09971112537182317,0.0,85.77806423535554,49268.0,99.0,0.0,-0.8333333333333334,0.5333333333333333,1.2,65.46666666666667,108.3,0.12525971014492754
164,48,6,3,30,5644,0.4451819253171082,0.0,0.9778544885875384,0.010291800602704348,107.35991102343763,49269.0,99.0,0.0,-0.8500000000000001,0.5333333333333333,1.2,65.4,107.7,0.1290882608695652
170,48,6,3,40,5644,0.010291800602704348,0.0,1.8656935115886408,0.07072950084294227,94.54702420808815,49270.0,99.0,0.0,-0.8666666666666667,0.5333333333333333,1.2,65.33333333333333,107.10000000000001,0.1329168115942029
176,48,6,3,50,5644,0.3422785030291206,0.020583601205408697,0.9469293257241675,2.5340663299432027,85.66194734166987,49271.0,99.0,0.0,-0.8833333333333333,0.5333333333333333,1.2,65.26666666666667,106.5,0.1367453623188406
182,48,6,4,0,5644,0.13250795816796712,1.1561534908232616,0.09971112537182317,0.03279683279614394,107.23743722646765,49272.0,99.0,0.0,-0.9,0.5333333333333333,1.2,65.2,105.9,0.14057391304347827
188,48,6,4,10,5644,0.8214643777279376,1.1913272546863494,0.0,0.0,92.52591784289517,49273.0,99.0,0.0,-0.9166666666666667,0.6,1.1833333333333333,64.48333333333333,102.91666666666667,0.14440246376811594
194,48,6,4,20,5644,1.5773350898635872,1.0564423654514383,0.0,2.376294435398085,89.63586959631132,49274.0,99.0,0.0,-0.9333333333333333,0.6666666666666666,1.1666666666666667,63.766666666666666,99.93333333333334,0.14823101449275364
200,48,6,4,30,5644,0.11895396949244498,0.11000292597452753,0.09971112537182317,0.03279683279614394,105.88872877503547,49275.0,99.0,0.0,-0.95,0.7333333333333333,1.15,63.05,96.95,0.1520595652173913
206,48,6,4,40,5644,0.13250795816796712,0.3319302089116134,0.058516269252207036,0.1525865993336697,91.4422793430587,49276.0,99.0,0.0,-0.9666666666666667,0.7999999999999999,1.1333333333333333,62.333333333333336,93.96666666666667,0.155888115942029
212,48,6,4,50,5644,0.0,0.09971112537182317,0.09971112537182317,0.020583601205408697,91.95213206150535,49277.0,99.0,0.0,-0.9833333333333334,0.8666666666666666,1.1166666666666667,61.61666666666667,90.98333333333333,0.15971666666666667
218,48,6,5,0,5644,0.0,0.09971112537182317,0.0,0.0,95.68577505623729,49278.0,99.0,0.0,-1.0,0.9333333333333332,1.1,60.9,88.0,0.16354521739130434
224,48,6,5,10,5644,1.7453987850114092,0.9983815962781442,0.11000292597452753,0.7886675449317936,103.41509236970792,49279.0,99.0,0.0,-0.9333333333333333,0.8722222222222221,1.1,61.1,89.11666666666667,0.16737376811594204
230,48,6,5,20,5644,0.03279683279614394,0.1994222507436464,0.7886675449317936,0.7989593455344979,87.36506877735908,49280.0,99.0,0.0,-0.8666666666666667,0.8111111111111111,1.1,61.3,90.23333333333333,0.17120231884057974
236,48,6,5,30,5644,1.6429287554558751,0.11000292597452753,0.9670230406823196,1.0770259666568474,96.57924892758392,49281.0,99.0,0.0,-0.8,0.75,1.1,61.5,91.35,0.1750308695652174
242,48,6,5,40,5644,0.25478060924803275,0.15309155937337582,1.0260224637222382,3.3834793104938776,99.17716375523504,49282.0,99.0,0.0,-0.7333333333333334,0.6888888888888889,1.1,61.7,92.46666666666667,0.17885942028985508
248,48,6,5,50,5644,2.7021300250910243,1.1561534908232616,0.0,0.010291800602704348,122.35089460848832,49283.0,99.0,0.0,-0.6666666666666667,0.6277777777777778,1.1,61.9,93.58333333333334,0.18268797101449274
254,48,6,6,0,5644,1.5622151893888725,0.8986704709063211,0.07586533609359668,0.9263113383504152,116.77425267058344,49284.0,99.0,0.0,-0.6,0.5666666666666668,1.1,62.1,94.7,0.18651652173913044
260,48,6,6,10,5644,0.8921938785708797,0.1994222507436464,2.604795830786145,2.4813093306609693,125.17764148478236,49285.0,99.0,0.0,-0.5666666666666667,0.5444444444444445,1.1166666666666667,62.38333333333333,98.63333333333334,0.19034507246376814
266,48,6,6,20,5644,2.075890716722703,1.1875120464190865,1.1103624467555049,1.0363142643249426,111.225385668841,49286.0,99.0,0.0,-0.5333333333333333,0.5222222222222223,1.1333333333333333,62.666666666666664,102.56666666666666,0.1941736231884058
272,48,6,6,30,5644,3.256938336945712,1.5773350898635872,1.8656935115886408,3.3592626518898183,124.47329518780741,49287.0,99.0,0.0,-0.5,0.5,1.15,62.95,106.5,0.19800217391304348
278,48,6,6,40,5644,4.382106191587823,3.0153704100764616,1.012468475046716,2.886414631136636,121.69621182377401,49288.0,99.0,0.0,-0.4666666666666667,0.4777777777777778,1.1666666666666667,63.233333333333334,110.43333333333334,0.20183072463768117
284,48,6,6,50,5644,6.055963729929342,2.164883381218913,2.376294435398085,2.350882734320666,113.57908678549308,49289.0,99.0,0.0,-0.43333333333333335,0.4555555555555556,1.1833333333333333,63.516666666666666,114.36666666666666,0.20565927536231884
290,48,6,7,0,5644,6.025900702575213,2.0554201025469,2.4470239362410267,4.322553748353459,125.0827238977762,49290.0,99.0,0.0,-0.4,0.43333333333333335,1.2,63.8,118.3,0.20948782608695654
296,48,6,7,10,5644,11.303979923040753,6.222965523726276,3.2278433656065224,1.6342385035065743,147.29149780898143,49291.0,99.0,0.0,-0.4166666666666667,0.4388888888888889,1.2333333333333334,65.63333333333333,132.81666666666666,0.2133163768115942
302,48,6,7,20,5644,9.700302091225971,3.364384231073525,2.0829768227673924,4.730405786873473,162.39254496749055,49292.0,99.0,0.0,-0.43333333333333335,0.4444444444444444,1.2666666666666666,67.46666666666667,147.33333333333334,0.2171449275362319
308,48,6,7,30,5644,23.839978249575502,8.812272561956934,6.965724374373384,9.961609767950693,222.95925692821945,49293.0,99.0,0.0,-0.45,0.44999999999999996,1.2999999999999998,69.3,161.85,0.22097347826086958
314,48,6,7,40,5644,21.98427479933925,3.109945700197629,4.847864985650798,11.964496669026733,215.00230506578728,49294.0,99.0,0.0,-0.4666666666666667,0.45555555555555555,1.3333333333333333,71.13333333333333,176.36666666666667,0.22480202898550727
320,48,6,7,50,5644,19.21258944941659,4.353407582751098,4.798604343019137,8.526374858715629,176.5199243458197,49295.0,99.0,0.0,-0.48333333333333334,0.4611111111111111,1.3666666666666667,72.96666666666667,190.88333333333333,0.22863057971014494
326,48,6,8,0,5644,9.424265575877024,8.557642869685187,5.830691311476707,6.349263598336716,212.3565574689537,49296.0,99.0,0.0,-0.5,0.4666666666666666,1.4,74.8,205.4,0.2324591304347826
332,48,6,8,10,5644,19.444378684591282,6.184533232345783,8.383688086974564,10.370863720257619,224.4649291172068,49297.0,99.0,0.0,-0.25,0.4833333333333333,1.4166666666666665,74.56666666666666,209.23333333333335,0.2362876811594203
338,48,6,8,20,5644,9.708025464898023,0.7120848864727295,9.444468274522343,7.705238346467733,178.18233644398475,49298.0,99.0,0.0,0.0,0.5,1.4333333333333333,74.33333333333333,213.06666666666666,0.24011623188405798
344,48,6,8,30,5644,16.495652640552965,8.786525471792075,7.973296909238727,7.599045965573146,208.9284656088348,49299.0,99.0,0.0,0.25,0.5166666666666667,1.45,74.1,216.9,0.24394478260869568
350,48,6,8,40,5644,7.992154568158928,5.012786236964871,10.44068468171728,13.995410974506349,160.1734320402417,49300.0,99.0,0.0,0.5,0.5333333333333334,1.4666666666666666,73.86666666666667,220.73333333333335,0.24777333333333335
356,48,6,8,50,5644,12.99528778827824,2.8622141626697384,6.914398128684069,18.881325403454102,187.23536857658127,49301.0,99.0,0.0,0.75,0.55,1.4833333333333334,73.63333333333334,224.56666666666666,0.251601884057971
362,48,6,9,0,5644,23.12383292461139,7.300694409138721,14.288370137775633,15.456264640375267,247.0626501718021,49302.0,99.0,0.0,1.0,0.5666666666666668,1.5,73.4,228.4,0.25543043478260874
368,48,6,9,10,5644,16.642880370519865,6.096720119417388,17.716858426316488,22.802404239918975,176.69815704996464,49303.0,99.0,0.0,1.3,0.5555555555555556,1.45,72.46666666666667,215.56666666666666,0.25925898550724635
374,48,6,9,20,5644,15.667957937081516,7.847193148300158,11.289693562957233,20.19489135601254,218.8945731526492,49304.0,99.0,0.0,1.6,0.5444444444444445,1.4,71.53333333333333,202.73333333333335,0.2630875362318841
380,48,6,9,30,5644,10.307223231395648,3.514982341019129,10.434600452177452,11.532998631922913,185.08360964867077,49305.0,99.0,0.0,1.9,0.5333333333333334,1.35,70.6,189.9,0.26691608695652175
386,48,6,9,40,5644,18.66606015848709,7.1873929316779686,10.920208361386424,16.89944071856503,197.883323186064,49306.0,99.0,0.0,2.2,0.5222222222222223,1.3,69.66666666666667,177.06666666666666,0.2707446376811594
392,48,6,9,50,5644,13.426644869585632,3.9197088399285485,24.225659076078486,21.22995164942007,215.7247140181329,49307.0,99.0,0.0,2.5,0.5111111111111111,1.25,68.73333333333333,164.23333333333335,0.27457318840579714
398,48,6,10,0,5644,17.780291158973085,8.508475449439898,14.934740957636395,17.221087685634554,225.76731166216894,49308.0,99.0,0.0,2.8,0.5,1.2,67.8,151.4,0.2784017391304348
404,48,6,10,10,5644,21.062830906167,9.584969292401636,18.656999913895532,27.014894720846037,281.2909153352649,49309.0,99.0,0.0,3.3,0.5277777777777778,1.2,67.06666666666666,148.66666666666669,0.2822302898550725
410,48,6,10,20,5644,29.714235570419675,15.828481688461745,21.79129432180233,24.45772585834733,220.57299173631185,49310.0,99.0,0.0,3.8,0.5555555555555556,1.2,66.33333333333333,145.93333333333334,0.28605884057971015
416,48,6,10,30,5644,21.8214956442868,6.69577406042053,14.797168230405376,16.265751801923056,227.42287717867862,49311.0,99.0,0.0,4.3,0.5833333333333333,1.2,65.6,143.2,0.2898873913043478
422,48,6,10,40,5644,19.79834466638309,4.5697367731491525,18.420919972139174,20.3229402788144,242.7896470119745,49312.0,99.0,0.0,4.8,0.611111111111111,1.2,64.86666666666666,140.46666666666667,0.29371594202898554
428,48,6,10,50,5644,14.954432915518074,7.3944285655087985,17.25699166940772,16.564482122621413,220.6963905762296,49313.0,99.0,0.0,5.3,0.6388888888888888,1.2,64.13333333333333,137.73333333333335,0.2975444927536232
434,48,6,11,0,5644,14.952002174010724,10.143275430828336,13.423248087233985,10.133182946407489,282.0932671158111,49314.0,99.0,0.0,5.8,0.6666666666666666,1.2,63.4,135.0,0.3013730434782609
440,48,6,11,10,5644,21.96612500648524,7.877779433919714,10.180941350232386,12.549986496823747,213.6822879320064,49315.0,99.0,0.0,6.133333333333333,0.6777777777777778,1.2,63.599999999999994,134.96666666666667,0.3052015942028986
446,48,6,11,20,5644,14.560676245806654,9.578411413262673,8.921570101148847,12.489794425668626,234.10536552383223,49316.0,99.0,0.0,6.466666666666667,0.6888888888888889,1.2,63.8,134.93333333333334,0.3090301449275362
452,48,6,11,30,5644,21.452350389279946,9.565678664470816,14.729640576183375,26.86318269257276,252.2553941538302,49317.0,99.0,0.0,6.8,0.7,1.2,64.0,134.9,0.31285869565217395
458,48,6,11,40,5644,17.104202689980053,4.394466461319631,17.634316301701055,14.507686029323006,257.83940887755557,49318.0,99.0,0.0,7.133333333333333,0.7111111111111111,1.2,64.19999999999999,134.86666666666667,0.3166872463768116
464,48,6,11,50,5644,22.174418562780176,8.601865825808758,16.58310605581983,19.283424030361573,226.6840691259388,49319.0,99.0,0.0,7.466666666666667,0.7222222222222223,1.2,64.39999999999999,134.83333333333334,0.3205157971014493
470,48,6,12,0,5644,23.17660752556495,8.900772332242887,18.026931827219066,21.381603044069386,271.04569894202336,49320.0,99.0,0.0,7.8,0.7333333333333334,1.2,64.6,134.8,0.32434434782608695
476,48,6,12,10,5644,20.021042140158624,5.9375991440447535,10.176187488098495,13.793733386512509,247.6209413938257,49321.0,99.0,0.0,7.949999999999999,0.7722222222222223,1.2,64.69999999999999,134.10000000000002,0.3281728985507247
482,48,6,12,20,5644,11.100640092021136,6.897008366962718,11.258993214633508,12.309533153086267,226.66114143814357,49322.0,99.0,0.0,8.1,0.8111111111111111,1.2,64.8,133.4,0.33200144927536235
488,48,6,12,30,5644,17.03354226847409,9.310442555143872,11.70188657079675,11.840510585207735,293.51438255309375,49323.0,99.0,0.0,8.25,0.8500000000000001,1.2,64.9,132.7,0.33583
494,48,6,12,40,5644,17.773261578523176,6.3673802040422816,12.615166534326812,13.694626466064319,255.29933673729724,49324.0,99.0,0.0,8.399999999999999,0.888888888888889,1.2,65.0,132.0,0.3396585507246377
500,48,6,12,50,5644,15.679907645907743,8.04182828593378,8.347904479199329,12.669426209339358,234.97079483781818,49325.0,99.0,0.0,8.549999999999999,0.9277777777777778,1.2,65.1,131.3,0.3434871014492754
506,48,6,13,0,5644,13.1753576478415,9.418930145624712,9.442442931693574,19.31114200913954,281.0725596141785,49326.0,99.0,0.0,8.7,0.9666666666666667,1.2,65.2,130.6,0.3473156521739131
512,48,6,13,10,5644,17.984692041528067,8.315496056788648,19.986621881365696,12.671889926573673,254.42481876037868,49327.0,99.0,0.0,8.816666666666666,0.95,1.1833333333333333,62.516666666666666,122.55,0.35114420289855075
518,48,6,13,20,5644,15.630665479307856,6.334569998354207,12.249407981824223,8.930114957734283,257.4819789588019,49328.0,99.0,0.0,8.933333333333334,0.9333333333333333,1.1666666666666667,59.833333333333336,114.5,0.3549727536231884
524,48,6,13,30,5644,25.345851906711417,9.249622881786868,13.367359818513524,14.29090171545846,300.7233572787643,49329.0,99.0,0.0,9.05,0.9166666666666667,1.15,57.150000000000006,106.44999999999999,0.3588013043478261
530,48,6,13,40,5644,11.087116749997465,7.0455482963199065,12.127852782333814,12.046360786051528,262.3874455353247,49330.0,99.0,0.0,9.166666666666666,0.9,1.1333333333333333,54.46666666666667,98.4,0.3626298550724638
536,48,6,13,50,5644,16.639470396986134,7.194198116052643,12.047435510348485,18.43878625708151,277.43748735562235,49331.0,99.0,0.0,9.283333333333333,0.8833333333333333,1.1166666666666667,51.78333333333333,90.35,0.3664584057971015
542,48,6,14,0,5644,17.242409919991687,6.514509354182872,7.753191443151999,14.667532987913413,325.53210537822963,49332.0,99.0,0.0,9.4,0.8666666666666667,1.1,49.1,82.3,0.37028695652173915
548,48,6,14,10,5644,13.671587315734985,2.9446327147149742,22.473777245680914,16.361661169709976,251.16625117941481,49333.0,98.83333333333333,0.0,9.283333333333333,0.9833333333333334,1.1,50.516666666666666,86.7,0.3741155072463768
554,48,6,14,20,5644,10.224148279661428,0.775897761815391,8.857969588131946,9.628871405842775,239.36942289577854,49334.0,98.66666666666667,0.0,9.166666666666666,1.1,1.1,51.93333333333334,91.1,0.37794405797101455
560,48,6,14,30,5644,13.30150238711752,2.8475876365986523,14.904186297346456,16.93713489468471,234.7680840294159,49335.0,98.5,0.0,9.05,1.2166666666666668,1.1,53.35,95.5,0.3817726086956522
566,48,6,14,40,5644,12.757643191979337,5.971837914596626,10.393522114418666,10.892478054764835,280.10044458003824,49336.0,98.33333333333333,0.0,8.933333333333334,1.3333333333333333,1.1,54.766666666666666,99.9,0.3856011594202899
572,48,6,14,50,5644,20.304631985738034,8.994704057543341,18.590098702355853,9.66120430519994,234.77168418162904,49337.0,98.16666666666667,0.0,8.816666666666666,1.45,1.1,56.18333333333334,104.30000000000001,0.38942971014492755
578,48,6,15,0,5644,15.495907590991877,11.007954286690595,13.041763214137205,22.661342150775067,265.68878962082937,49338.0,98.0,0.0,8.7,1.5666666666666667,1.1,57.6,108.7,0.3932582608695652
584,48,6,15,10,5644,28.004138168060923,6.208371829737374,13.566658545005795,16.240241176723295,253.62320749334754,49339.0,94.5,0.0,8.649999999999999,1.4388888888888889,1.1166666666666667,59.21666666666667,111.38333333333334,0.39708681159420295
590,48,6,15,20,5644,13.929163087122395,4.942623677326446,15.705560144113871,13.186325337292732,301.3479569825724,49340.0,91.0,0.0,8.6,1.3111111111111111,1.1333333333333333,60.833333333333336,114.06666666666666,0.4009153623188406
596,48,6,15,30,5644,19.114711825189346,11.365540709420033,15.655960648988318,14.595224584669227,343.06943978442206,49341.0,87.5,0.0,8.55,1.1833333333333336,1.15,62.45,116.75,0.4047439130434783
602,48,6,15,40,5644,26.34815562049808,9.438248610729623,12.39791814925239,11.928512081562559,288.85928670211894,49342.0,84.0,0.0,8.5,1.0555555555555558,1.1666666666666667,64.06666666666666,119.43333333333334,0.40857246376811596
608,48,6,15,50,5644,13.931557475410704,6.213365586940545,12.426593001169705,13.86618693105068,298.6303600353038,49343.0,80.5,0.0,8.45,0.9277777777777779,1.1833333333333333,65.68333333333334,122.11666666666666,0.4124010144927536
614,48,6,16,0,5644,22.4720690313478,10.032322715539664,15.240503392791233,15.209030665896316,315.08043297168166,49344.0,77.0,0.0,8.4,0.8000000000000002,1.2,67.3,124.8,0.41622956521739135
620,48,6,16,10,5644,32.999226094756345,6.088059947725116,22.144048144392844,26.137748196444853,398.17375675353225,49345.0,74.83333333333333,0.0,7.983333333333333,0.7333333333333335,1.2,68.05,126.28333333333333,0.420058115942029
626,48,6,16,20,5644,45.85825462348665,15.219461975381329,28.8280965052484,31.70198219033872,493.9019247805992,49346.0,72.66666666666667,0.0,7.566666666666667,0.6666666666666667,1.2,68.8,127.76666666666667,0.4238866666666667
632,48,6,16,30,5644,34.06813513146355,7.456752648645057,19.22896331631797,28.642162156785854,482.10255063324837,49347.0,70.5,0.0,7.15,0.6000000000000001,1.2,69.55,129.25,0.42771521739130436
638,48,6,16,40,5644,20.7727480899478,13.062500524542381,26.907517064207358,25.485060313954826,368.8353870909312,49348.0,68.33333333333333,0.0,6.733333333333333,0.5333333333333334,1.2,70.3,130.73333333333332,0.4315437681159421
644,48,6,16,50,5644,30.46919526315941,13.861637979816999,17.772356241289796,24.623785651434112,331.508433989962,49349.0,66.16666666666667,0.0,6.316666666666666,0.4666666666666668,1.2,71.05,132.21666666666667,0.43537231884057975
650,48,6,17,0,5644,20.434505323567794,6.815646119001035,19.52907718491637,17.052310490014186,299.1897763106631,49350.0,64.0,0.0,5.9,0.4000000000000001,1.2,71.8,133.7,0.4392008695652174
656,48,6,17,10,5644,22.945500287398477,6.216262706119747,18.225953134686673,30.710577148273142,271.76103421119757,49351.0,65.0,0.0,5.533333333333333,0.4055555555555556,1.2,72.25,134.58333333333331,0.4430294202898551
662,48,6,17,20,5644,41.24230308031076,12.768408994893253,15.494821975307401,22.493601637019783,243.6641444246676,49352.0,66.0,0.0,5.166666666666667,0.41111111111111115,1.2,72.7,135.46666666666667,0.44685797101449276
668,48,6,17,30,5644,19.28818086230399,7.477953706061065,16.868064960987702,13.015213275786525,245.16474230017283,49353.0,67.0,0.0,4.800000000000001,0.41666666666666674,1.2,73.15,136.35,0.4506865217391305
674,48,6,17,40,5644,12.088590110333776,4.9524599778502365,20.37932342569005,22.880009729446996,369.0755782785698,49354.0,68.0,0.0,4.433333333333334,0.4222222222222223,1.2,73.6,137.23333333333332,0.45451507246376815
680,48,6,17,50,5644,13.485331090128666,9.916860540648633,16.482655521662362,19.776461563013264,237.0740401794812,49355.0,69.0,0.0,4.066666666666666,0.4277777777777778,1.2,74.05,138.11666666666667,0.4583436231884058
686,48,6,18,0,5644,17.957377959789248,5.939229146542284,17.30720075184475,16.395393795952664,240.649572090435,49356.0,70.0,0.0,3.7,0.43333333333333335,1.2,74.5,139.0,0.4621721739130435
692,48,6,18,10,5644,13.590047799857215,11.045116670188348,14.173094895770301,14.526843451431766,227.22396424695225,49357.0,70.66666666666667,0.0,3.566666666666667,0.4111111111111111,1.1833333333333333,73.76666666666667,137.7,0.4660007246376812
698,48,6,18,20,5644,24.265434866768945,6.978150979180706,23.075282484713316,15.725232966412804,203.5815752578481,49358.0,71.33333333333333,0.0,3.4333333333333336,0.3888888888888889,1.1666666666666667,73.03333333333333,136.4,0.4698292753623189
704,48,6,18,30,5644,21.107785657988398,6.1646860528893,14.048386573425546,10.325600656729764,229.1092947785613,49359.0,72.0,0.0,3.3,0.3666666666666667,1.15,72.3,135.1,0.47365782608695656
710,48,6,18,40,5644,22.109315535054048,9.501037139078058,12.668371499014304,18.050029757519848,238.0457556002393,49360.0,72.66666666666667,0.0,3.1666666666666665,0.34444444444444444,1.1333333333333333,71.56666666666666,133.79999999999998,0.4774863768115942
716,48,6,18,50,5644,14.395082126181693,14.162365740785265,13.33552253608334,21.880085597517123,193.61283996921586,49361.0,73.33333333333333,0.0,3.033333333333333,0.3222222222222222,1.1166666666666667,70.83333333333333,132.5,0.4813149275362319
722,48,6,19,0,5644,25.287067615983396,3.9806296939564967,16.444569214880847,18.57162464005513,222.23967396316144,49362.0,74.0,0.0,2.9,0.3,1.1,70.1,131.2,0.4851434782608696
728,48,6,19,10,5644,17.537554000567663,14.850601769411744,14.05129637949672,13.438061877911544,242.5072375967947,49363.0,74.33333333333333,0.0,2.8,0.3333333333333333,1.1166666666666667,71.35,138.78333333333333,0.4889720289855073
734,48,6,19,20,5644,16.220379172149805,8.396397845244943,12.059869327968714,14.106028960552466,262.37828264703955,49364.0,74.66666666666667,0.0,2.6999999999999997,0.36666666666666664,1.1333333333333333,72.6,146.36666666666665,0.49280057971014496
740,48,6,19,30,5644,18.44391535561939,8.526980697671389,16.227653344679197,15.066859818725725,285.5903496847377,49365.0,75.0,0.0,2.5999999999999996,0.4,1.15,73.85,153.95,0.49662913043478263
746,48,6,19,40,5644,16.057854980287274,4.650941476149279,13.783287261175124,12.111801935065177,247.0154613710921,49366.0,75.33333333333333,0.0,2.5,0.43333333333333335,1.1666666666666667,75.1,161.53333333333333,0.5004576811594204
752,48,6,19,50,5644,18.922651280965773,6.4650098528512325,16.511834715121616,9.639144962151011,393.3923642986818,49367.0,75.66666666666667,0.0,2.4,0.4666666666666667,1.1833333333333333,76.35,169.11666666666665,0.504286231884058
758,48,6,20,0,5644,11.502271197285554,3.82773137769831,12.252803050794071,11.538140567669965,298.13966047333037,49368.0,76.0,0.0,2.3,0.5,1.2,77.6,176.7,0.5081147826086957
764,48,6,20,10,5644,14.303688137183777,8.079118452464071,10.838991961644973,13.077787031112326,379.2772720166823,49369.0,76.66666666666667,0.0,2.2166666666666663,0.5222222222222223,1.2,76.1,170.08333333333331,0.5119433333333334
770,48,6,20,20,5644,17.992227082906663,6.053140137712285,9.01476650421337,9.523149808475877,478.7087869908732,49370.0,77.33333333333333,0.0,2.1333333333333333,0.5444444444444444,1.2,74.6,163.46666666666667,0.515771884057971
776,48,6,20,30,5644,14.4875454426417,7.243334464698883,16.300726944506902,12.505422333984795,397.04434484943704,49371.0,78.0,0.0,2.05,0.5666666666666667,1.2,73.1,156.85,0.5196004347826088
782,48,6,20,40,5644,18.4821482146689,7.6007383507348445,4.642551647344352,11.698487198446374,289.3054428723324,49372.0,78.66666666666667,0.0,1.9666666666666666,0.5888888888888889,1.2,71.6,150.23333333333332,0.5234289855072465
788,48,6,20,50,5644,10.241231050885855,5.993525326928671,5.39252177786048,8.008538513411178,319.04277261089186,49373.0,79.33333333333333,0.0,1.8833333333333333,0.611111111111111,1.2,70.1,143.61666666666667,0.5272575362318841
794,48,6,21,0,5644,18.527491356139212,10.58947875887459,3.8425304004589633,7.428112526274657,223.76659761478038,49374.0,80.0,0.0,1.8,0.6333333333333333,1.2,68.6,137.0,0.5310860869565217
800,48,6,21,10,5644,14.497895748650627,10.931986787923412,4.7767566083451385,6.05755968131541,248.706216628929,49375.0,80.5,0.0,1.7666666666666666,0.6611111111111111,1.2,67.66666666666666,133.85,0.5349146376811594
806,48,6,21,20,5644,12.11180891701979,5.462577747871968,3.836834787804399,4.545476178671973,224.03160639091453,49376.0,81.0,0.0,1.7333333333333334,0.6888888888888889,1.2,66.73333333333333,130.7,0.5387431884057972
812,48,6,21,30,5644,21.935788394716486,8.700297003293931,3.1857700096904966,2.8196457173831497,250.57166356109485,49377.0,81.5,0.0,1.7000000000000002,0.7166666666666668,1.2,65.8,127.55,0.5425717391304348
818,48,6,21,40,5644,15.865606694984939,7.565308222256492,2.0559367593279383,3.1606019172782798,312.9732272607066,49378.0,82.0,0.0,1.6666666666666667,0.7444444444444446,1.2,64.86666666666666,124.39999999999999,0.5464002898550725
824,48,6,21,50,5644,15.711649193456841,3.299132643853375,2.28907746328701,1.4923544080810511,349.72745461195746,49379.0,82.5,0.0,1.6333333333333333,0.7722222222222224,1.2,63.93333333333333,121.25,0.5502288405797102
830,48,6,22,0,5644,14.635149433285806,4.31215803588392,3.096350684921378,8.991516816936123,363.78495224705216,49380.0,83.0,0.0,1.6,0.8000000000000002,1.2,63.0,118.1,0.5540573913043478
